question,answer
What type of fossils were found in China?,Cambrian sessile frond-like fossil Stromatoveris
Where do pharmacists acquire more preparation following pharmacy school?,a pharmacy practice residency
What contributed to the decreased inequality between trained and untrained workers?,period of compression
Where in South Carolina did Huguenot nobility settle?,the Charleston Orange district
It is now possible to convert old relative ages into what type of ages using isotopic dating?,absolute ages
What is Thomas B. Edsall's profession?,journalist
As a euphoric how is oxygen used in bars?,recreational
When did French learn about Braddock's plans?,plans leaked to France well before Braddock's departure
When was Warsaw ranked as the 32nd most liveable city in the world?,2012
What did the Merwede-Oude Maas form with Waal and Lek?,archipelago-like estuary
What does the IPCC rely on for research?,other scientific bodies
What is a complex net of contracts and other legal obligations?,A construction project
What impact does workers working harder have on productivity of a business?,less workers are required
What is the section of the Rhine Gorge recognized by UNESCO called?,Romantic Rhine
Who did BSkyB compete with initially?,ONdigital
What Dutch document condemned the Spanish Inquisition?,"""Apologie"""
What was the name of the first self-sustained man-made nuclear reaction?,Chicago Pile-1
When had the Six Ministries existed?,since the Sui and Tang dynasties
How many megaregions are there in the United States?,11
How many plant species make up the total in the rainforest?,"40,000"
What immune system is activated by the innate response?,adaptive immune system
In which case was a Dutch national not entitled to continue receiving benefits when he moved to Belgium?,Hendrix v Employee
"Under normal conditions, what do two atoms of oxygen form?",dioxygen
What responses protect the lungs by mechanically ejecting pathogens from the respiratory system?,coughing and sneezing
Which country is not badly hit by the embargo?,UK
Which team was suspended from the MLS?,Chivas USA
What is another name for a coal supply bin?,bunker
When was the Special Report on Renewable Energy Sources and Climate Change Mitigation (SRREN) issued?,2011
WHat allows customers to get Sky+ functions if they do not subscribe to BSkyB's channels?,monthly fee
Which two treaties provided more formal institutions of the European Union?,Treaty of Rome 1957 and the Maastricht Treaty 1992
"Peroxides, nitrates and dichromates are examples of what type of compounds?",compounds of oxygen with a high oxidative
In what country can most of the Amazon rainforest be found?,Brazil
What combined with ricing prices to make it difficult or impossible for poor people to keep pace?,ad valorem property tax policy
What does high levels of inequality do to growth in poor countries?,reduce
What was a first for this network ,"to make the hosts responsible for reliable delivery of data, rather than the network itself"
What rift system developed in the Alpine orogeny?,N–S
Who was famous for disobedience against a tax collector?,Thoreau
How far does one pharmacy in Croatia date back to?,1317
Sleep hormones shift the cytokine balance to which cytokine?,Th1
What type of interpretation of Islam does Salafism promote?,conservative
Secular Arab nationalism was blamed for both the defeat of Arab troops as well as what type of stagnation?,economic
What academy did Tugh Temur found?,Academy of the Pavilion of the Star of Literature
What are weak and electromatic forces expressions of?,electroweak interaction
Where did Iroquois Confederation control?,present-day Upstate New York and the Ohio Country
What amount of bird species on earth are found in the Amazon rainforest?,One in five
Completing Q with respect to what will produce the field of real numbers?,the absolute value
How are pharmacists regulated in most jurisdictions?,separately from physicians
How many bodies did Public Health England exhume? ,25
When did the formation of the Holocene Rhine-Meuse delta begin?,"8,000 years ago"
What was Warner Sinback,a data network based on this voice-phone network was designed to connect GE's four computer sales and service centers
How many bits are typically used in the primes for the Diffie–Hellman key exchange?,1024-bit
How fast is pharmacy informatics growing?,quickly
How did King Louis XV respond to British plans?,dispatched six regiments to New France under the command of Baron Dieskau in 1755.
Humans in tropical environments were considered what?,less civilized
"The Rhine flowed through Swabia, Franconia and what other location in the 10th Century?",Lower Lorraine
What is the process by which the antigen/antibody complex is processed in to peptides?,proteolysis
What difficulties was Shirly having?,"efforts to fortify Oswego were bogged down in logistical difficulties, exacerbated by Shirley's inexperience"
What is the nickname for the Delta in the Netherlands?,Rhine Delta
What does a receiver have to be equipped with to view encrypted content?,VideoGuard UK
What type of numbers demonstrate a flaw with the Fermat primality test?,composite numbers (the Carmichael numbers)
Who funds the IPCC's Deputy Secretary?,United Nations Environment Programme
What was suggested at the Symposium in 1967,suggested it for use in the ARPANET
What is the name of one type of prime where p+1 or p-1 takes a certain shape?,primorial primes
Under what treaty can the European Commission take action against member states?,the Treaty on the Functioning of the European Union
Who was an important early figure in the Islamic revival in India?,Sayyid Abul Ala Maududi
What have many HT members graduated to joining?,terrorist groups
What was Joseph Haas arrested for?,"sending an email to the Lebanon, New Hampshire city councilors"
"What is the theory that this King's name is the origin of ""Huguenot"" called?","The ""Hugues hypothesis"""
What did European empires rely on to supply them with resources?,colonies
What did the the Europeans think the peoples in the tropics were in need of?,guidance
What is an example of a mechanical barrier on leaves?,The waxy cuticle
What are the eight comb rows on the outer surface called?,swimming-plates
Which country's imports became the de facto mass market leaders?,Japan
By what means is bulk oxygen shipped?,insulated tankers
What is the name of the longest bridge in Germany?,Emmerich Rhine Bridge
What is the name of the post-independence government school system in Malaysia?,National School
_____ Helps the biospher from UV.,high-altitude ozone layer
Which hall was used as Parliament's principle committee room?,main
Harold WInston's supported which country's during its six day war?,Israel
What famous snowbaorder lives in southern California?,Shaun White
What is the eukaryotic parasite responsible for malaria known as?,Plasmodium falciparum
What was the percentage of people that voted in favor of the Pico Act of 1859?,75
What is the definition of agency as it relates to capabilities? ,the ability to pursue valued goals
What plants create most electric power?,steam turbine
When was Montreal captured?,1760
What type of forested areas can be found on the highest terrace?,pine
In what year was Henry Ware elected to chair?,1805
To what body are certain powers explicitly specified as being reserved for?,Parliament of the United Kingdom
Under which leader did the Huguenots fight in this conflict?,William of Orange
What do some believe the Treaty of Versailles assisted in?,Adolf Hitler's rise to power
What modern company has been notably working on a steam engine using modern materials?,Energiprojekt AB
What court is able to interpret European Union law?,The European Court of Justice
What dynasty came before the Yuan?,Song dynasty
Developments in which scientists influenced the creation of pharmacology in medieval Islam?,botany and chemistry
How many members in the seats of the Scottish Parliament are members of the Scottish Government?,2
What is the name of one type of computing method that is used to find prime numbers?,distributed computing
Who was the first Huguenot to arrive at the Cape of Good Hope?,Maria de la Queillerie
What was believed to be the cause of devastation to the civilization?,diseases from Europe
What was the percentage of Germans attending private high schools in 2008?,11.1
What type of income is the vast majority of the population dependent on?,wage or salary
